metric_id,display_name,metric_layer,unit,source_path,source_field,authority_source,value_classification,as_of_date,calculation_formula,producer,consumer,old_ui_consumer,new_ui_consumer,report_consumer,hardcoded,fallback,status,notes
VAL.PB_DAILY,每日股價淨值比,DERIVED,倍,data/2317_daily_price.csv,PB_daily,CSV_AUTHORITY,DERIVED_VERIFIED,2026-08-27,"round(Close/BVPS_ref,3)",daily price authority pipeline,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
FIN.DIVIDEND,現金股利,RAW,元,data/2317_master_v9.csv,CashDividend,CSV_AUTHORITY,AUTHORITATIVE_SOURCE_REPORTED,2026Q2,DIRECT,Owner authority CSV,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
FIN.DIVIDEND_YIELD,現金殖利率,DERIVED,%,data/2317_master_v9.csv + data/2317_daily_price.csv,CashDividend;Close,DERIVED_FROM_AUTHORITY,DERIVED_VERIFIED,MULTI_SOURCE_OR_RUNTIME,CashDividend/Close*100,deterministic consumer calculation,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
FIN.OCF_H1,2026H1營業現金流,DERIVED,新台幣百萬元,modules/p1008_research_plugin/config/quarterly_earnings/FY2026_Q2.json,cashFlow.operatingCashFlowMillionTwd,OFFICIAL_EVIDENCE,OFFICIAL_REPORTED,2026H1_OR_2026Q2_FIELD_SPECIFIC,DIRECT,official Q2 evidence packet,reports;cash-flow evidence,NO,NO,YES,NO,NONE,ACTIVE,H1累計值，不是Q2單季
FIN.CAPEX_H1,2026H1資本支出,DERIVED,新台幣百萬元,modules/p1008_research_plugin/config/quarterly_earnings/FY2026_Q2.json,cashFlow.capexMillionTwd,OFFICIAL_EVIDENCE,OFFICIAL_REPORTED,2026H1_OR_2026Q2_FIELD_SPECIFIC,DIRECT,official Q2 evidence packet,reports;cash-flow evidence,NO,NO,YES,NO,NONE,ACTIVE,H1累計值，不是Q2單季
FIN.FCF_H1,2026H1自由現金流,DERIVED,新台幣百萬元,modules/p1008_research_plugin/config/quarterly_earnings/FY2026_Q2.json,cashFlow.freeCashFlowMillionTwd,OFFICIAL_EVIDENCE,OFFICIAL_REPORTED,2026H1_OR_2026Q2_FIELD_SPECIFIC,CFO-CAPEX,official Q2 evidence packet,reports;cash-flow evidence,NO,NO,YES,NO,NONE,ACTIVE,H1累計值，不是Q2單季
MACRO.US10Y,美國十年期公債殖利率,NORMALIZED,%,data/fx_trend_observations.csv,US_10Y_Yield,OBSERVATION_ONLY,STALE,2026-08-27,DIRECT,FX sidecar,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
MACRO.VIX,VIX 波動率,NORMALIZED,index,data/macro_snapshot.csv,VIX,NON_AUTHORITATIVE_L3,STALE,2026-08-27,DIRECT,macro sidecar,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
MACRO.DXY,美元指數,NORMALIZED,index,data/fx_trend_observations.csv,DXY,OBSERVATION_ONLY,STALE,2026-08-27,DIRECT,FX sidecar,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
FX.TWD_USD,美元兌新台幣,NORMALIZED,TWD/USD,data/fx_trend_observations.csv,TWD_USD,OBSERVATION_ONLY,STALE,2026-08-27,DIRECT,FX sidecar,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
IC.FUNDAMENTALS,基本面 IC 數值,SCORE,N/A,NO_CANONICAL_EXACT_SCORE,N/A,NONE,INVALID,MULTI_SOURCE_OR_RUNTIME,DISABLED,none,new UI card structure only,NO,YES,NO,REMOVED,DISABLED,DISABLED_UI_ONLY_LEGACY,保留ROE/EPS證據
IC.VALUATION,估值 IC 數值,SCORE,N/A,NO_CANONICAL_EXACT_SCORE,N/A,NONE,INVALID,MULTI_SOURCE_OR_RUNTIME,DISABLED,none,new UI card structure only,NO,YES,NO,REMOVED,DISABLED,DISABLED_UI_ONLY_LEGACY,保留Close/PB/BVPS證據
IC.CASH_RETURN,現金流 IC 數值,SCORE,N/A,NO_CANONICAL_EXACT_SCORE,N/A,NONE,INVALID,MULTI_SOURCE_OR_RUNTIME,DISABLED,none,new UI card structure only,NO,YES,NO,REMOVED,DISABLED,DISABLED_UI_ONLY_LEGACY,保留殖利率與US10Y證據
IC.MACRO_FX,宏觀／匯率 IC 數值,SCORE,N/A,NO_CANONICAL_EXACT_SCORE,N/A,NONE,INVALID,MULTI_SOURCE_OR_RUNTIME,DISABLED,none,new UI card structure only,NO,YES,NO,REMOVED,DISABLED,DISABLED_UI_ONLY_LEGACY,保留具日期的觀察資料
IC.INDUSTRY_AI,產業／AI IC 數值,SCORE,N/A,NO_CANONICAL_EXACT_SCORE,N/A,NONE,INVALID,MULTI_SOURCE_OR_RUNTIME,DISABLED,none,new UI card structure only,NO,YES,NO,REMOVED,DISABLED,DISABLED_UI_ONLY_LEGACY,保留權威產業證據
IC.DATA_QUALITY,資料品質 IC 數值,SCORE,N/A,NO_CANONICAL_EXACT_SCORE,N/A,NONE,INVALID,MULTI_SOURCE_OR_RUNTIME,DISABLED,none,new UI card structure only,NO,YES,NO,REMOVED,DISABLED,DISABLED_UI_ONLY_LEGACY,readiness另在治理面板呈現
MODEL5.FUND,五維度基本面,SCORE,score 0-100,old UI governed inputs,quality inputs,DERIVED_REVIEW_AID,RESEARCH_ESTIMATE,MULTI_SOURCE_OR_RUNTIME,existing formula,old UI calculateRadarPackage,old UI radar,YES,NO,NO,NO,NONE,ACTIVE,
MODEL5.INDUSTRY,五維度產業面,SCORE,score 0-100,data/2317_master_v9.csv,AI_Revenue_Pct,L3_OBSERVATION,UNVERIFIED,2026Q2,existing formula after input gate,old UI calculateRadarPackage,old UI radar,YES,NO,NO,NO,DISABLED,INSUFFICIENT_DATA,40%缺分母且為L3
MODEL5.CHIP,五維度籌碼面,SCORE,score 0-100,data/2317_master_v9.csv,ForeignHoldChange_Pct,DERIVED_REVIEW_AID,INSUFFICIENT_DATA,2026Q2,existing formula,old UI calculateRadarPackage,old UI radar,YES,NO,NO,NO,DISABLED,INSUFFICIENT_DATA,Q2缺值時N/A，不得沿用舊值
MODEL5.MACRO,五維度總經面,SCORE,score 0-100,old UI DIMAS inputs,capScore,DERIVED_REVIEW_AID,STALE,MULTI_SOURCE_OR_RUNTIME,existing formula,old UI calculateRadarPackage,old UI radar,YES,NO,NO,NO,DISABLED,SOURCE_STALE,缺必要輸入時N/A
MODEL5.VALUATION,五維度估值面,SCORE,score 0-100,data/2317_daily_price.csv,PB_daily,DERIVED_REVIEW_AID,DERIVED_VERIFIED,2026-08-27,existing interpolation,old UI calculateRadarPackage,old UI radar,YES,NO,NO,NO,NONE,ACTIVE,
GOV.PUBLISH_READINESS,正式發布可用度,CLASSIFICATION,%,runtime/p1008_app_state.json,reviewPackage.readiness,GOVERNANCE_RUNTIME,AUTHORITATIVE_SOURCE_REPORTED,MULTI_SOURCE_OR_RUNTIME,existing validation score,owner publish runtime,Launcher;new UI governance panel,NO,YES,NO,NO,NONE,ACTIVE,
EVENT.SEVERITY,事件觀察等級,NORMALIZED,enum,data/macro_event_observations.csv,BlackSwanLevel,OBSERVATION_ONLY,STALE,2026-07-27,existing enum,news scanner,Launcher;old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
DECISION.HOLD,主結論 HOLD,DECISION,classification,governed review payload,actionable,GOVERNED_REVIEW_AID,RESEARCH_ESTIMATE,MULTI_SOURCE_OR_RUNTIME,existing projection,decision renderer,old UI;reports;new UI,YES,YES,YES,NO,NONE,ACTIVE,actionable=false
